Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,TotalReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-04-20,547.5,536.0,561.5,535.5,533.75,13.75,0.02576112412177986,0.0,547.5,26.0,1.0485527544351074,0.04871194379391101,540.4,549.85,541.2333333333333,542.2301242932692,-8.72716459123841,34.532535177292324,30.96920954802199,41.659186435833,1.0489895384995613,51.19545604257783,6.6200000000000045
2020-04-17,533.75,529.0,535.75,525.0,530.5,3.25,0.006126295947219604,0.9748858447488584,533.75,10.75,1.0204761904761905,0.020263901979264844,542.0,551.4333333333333,540.175,539.5951864399038,-14.503326717230255,23.31779010771064,29.18754673338682,11.57827685635828,0.7780270053233251,43.75788460996097,8.5
2020-04-16,530.5,539.75,544.25,529.0,540.5,-10.0,-0.018501387604070305,0.9689497716894976,530.5,15.25,1.02882797731569,0.028214616096207217,546.75,553.7833333333333,539.675,542.5177796598558,-11.510579090709522,23.900735794477356,32.12242504622491,7.4573572909822445,0.7185560077820473,41.811614199842644,9.0
2020-04-15,540.5,548.0,550.0,531.5,549.75,-9.25,-0.01682582992269213,0.9872146118721459,540.5,18.5,1.0348071495766697,0.03365165984538426,550.3,557.0833333333334,539.2666666666667,548.5266694897838,-2.7797340042497165,33.738427635378,36.23326967209869,28.74874356193662,0.8656437071526049,46.399197436994726,4.959999999999991
2020-04-14,549.75,555.75,557.25,546.25,555.5,-5.75,-0.010351035103510351,1.0041095890410958,549.75,11.0,1.020137299771167,0.019801980198019802,552.05,558.4833333333333,538.825,552.5400042346757,3.733283355059128,36.97127781670337,37.480690690459035,35.952452069192034,1.0503113667868318,51.22692015470991,3.5599999999999907
2020-04-13,555.5,560.0,564.5,552.75,557.5,-2.0,-0.003587443946188341,1.0146118721461186,555.5,11.75,1.0212573496155586,0.021076233183856503,553.25,559.3333333333334,537.9416666666667,553.9350063520136,6.644672271966896,38.29273762057744,37.73539712733687,39.40741860705859,1.1978073027482175,54.500105684899495,3.6
2020-04-09,557.5,549.25,559.25,546.5,548.25,9.25,0.0168718650250798,1.0182648401826482,557.5,12.75,1.0233302836230558,0.023255813953488372,552.0,558.25,536.925,553.1525095280203,6.209871407187831,34.12829562005535,37.45672688071658,27.471433098732874,1.2547168576730467,55.648533136349634,3.7
2020-04-08,548.25,551.0,554.5,545.0,549.25,-1.0,-0.0018206645425580337,1.0013698630136985,548.25,9.5,1.0174311926605504,0.01729631315430132,548.85,556.75,535.925,550.9787642920305,3.315167560495424,28.54538460655361,39.12094251104719,7.394268797566454,1.0506721728557662,51.23550154740726,3.0799999999999956
2020-04-07,549.25,555.25,555.75,545.25,555.75,-6.5,-0.011695906432748537,1.0031963470319634,549.25,10.5,1.0192572214580469,0.018893387314439947,549.25,554.0833333333334,535.5083333333333,552.3431464380458,6.114041085129866,32.56166665342016,44.40872146329398,8.867557033672526,1.072643395924143,51.75243353649249,3.0
2020-04-06,555.75,550.0,561.75,549.75,549.25,6.5,0.011834319526627219,1.0150684931506848,555.75,12.0,1.0218281036834924,0.021847974510696404,553.15,550.75,535.1,553.8897196570687,9.619212877452092,37.56044869807896,50.332248868230884,12.016848357775103,1.2275846741239294,55.10832824376102,7.279999999999996
2020-04-03,549.25,541.75,556.5,541.5,541.75,7.5,0.01384402399630826,1.0031963470319634,549.25,15.0,1.0277008310249307,0.02768804799261652,555.9,546.9,534.4,552.959579485603,9.34596244195652,38.39195509840049,56.718148953306844,1.7395673885877727,1.0934543148737301,52.23206005045701,10.579999999999995
2020-04-02,541.75,550.25,553.25,538.25,550.25,-8.5,-0.015447523852794184,0.989497716894977,541.75,15.0,1.027868091035764,0.027260336210813266,560.3,544.0166666666667,534.4916666666667,554.8143692284044,13.836213384781026,46.305881365549446,65.88124588076003,7.155152335128264,0.9497432156770885,48.71119478916974,11.440000000000008
2020-04-01,550.25,567.25,571.75,546.5,568.75,-18.5,-0.032527472527472526,1.0050228310502283,550.25,25.25,1.0462031107044831,0.044395604395604395,565.75,541.6,535.075,561.3465538426066,27.021574313210078,64.93620898299753,75.66892813836533,43.47077067226192,1.1189757989717124,52.80738928281882,6.2
2020-03-31,568.75,569.75,575.25,564.25,569.5,-0.75,-0.0013169446883230904,1.038812785388128,568.75,11.0,1.0194949047408064,0.019315188762071993,571.7,539.1,535.4833333333333,566.8948307639098,40.362727287369296,81.43209125227406,81.03528771604924,82.22569832472371,1.7487245397967393,63.61949022094635,3.3200000000000274
2020-03-30,569.5,572.25,580.75,562.75,571.25,-1.75,-0.003063457330415755,1.0401826484018266,569.5,18.0,1.0319857840959574,0.03150984682713348,570.25,536.0,535.3583333333333,565.9672461458647,44.41505251501593,83.77234070006715,80.83688594793684,89.64325020432776,1.7865751383622266,64.11365384578372,4.3
2020-03-27,571.25,569.5,587.0,563.5,569.0,2.25,0.003954305799648506,1.04337899543379,571.25,23.5,1.04170363797693,0.04130052724077329,568.85,532.6166666666667,534.425,564.200869218797,47.59613063678708,85.11797050956017,79.36915857187168,96.61559438493714,1.8744824137008327,65.21112826317409,5.479999999999995
2020-03-26,569.0,579.5,583.0,564.5,580.0,-11.0,-0.01896551724137931,1.0392694063926942,569.0,18.5,1.032772364924712,0.03189655172413793,562.45,528.9166666666666,533.5416666666666,560.6763038281955,48.19962114843962,86.19046927785377,76.49475260302744,105.58190262750642,1.81573844019276,64.48533763911885,9.659999999999991
