Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,TotalReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-04-20,219.39,236.11,222.49,218.23,236.18,-16.79000000000002,-0.07108984672707265,0.0,-0.35359457866823807,4.260000000000019,1.0195206891811393,0.018037090354814204,233.61800000000048,237.3866666666671,230.04066666666677,229.84011134076312,-5.392824547288123,52.34657640879803,46.98552093922879,63.0686873479365,0.7901442043756396,44.13857847006373,5.691199999999992
2020-04-19,236.18,244.37,237.88,230.37,244.51,-8.329999999999984,-0.03406813627254503,1.0765303796891381,-0.304124926340601,7.509999999999991,1.0325997308677344,0.03071449020489956,232.17400000000052,238.3546666666671,230.32600000000008,235.0651670111447,2.8788300926536685,61.87493896748874,44.30499320444417,97.01483049357788,0.9984287244536525,49.960687225740884,8.00160000000002
2020-04-18,244.51,233.82,244.96,240.13,233.9,10.609999999999985,0.04536126549807604,1.1144992934956013,-0.27958161461402475,4.8300000000000125,1.0201141048598676,0.020649850363403218,229.76200000000054,238.43200000000044,229.8413333333334,234.50775051671704,2.342480541597906,54.26557829208884,35.520020322921894,91.75669423042274,1.1364371781747002,53.19310063428281,9.293600000000003
2020-04-17,233.9,233.92,235.67,231.63,234.11,-0.21000000000000796,-0.0008970142240827301,1.0661379278909704,-0.3108426635238656,4.039999999999992,1.0174416094633683,0.017256845072828975,226.27200000000053,237.71466666666714,228.97700000000006,229.50662577507558,-5.9287614479412944,31.985375004008574,26.14724133833842,43.66164233534888,0.9729535294204494,49.31456899069753,6.501600000000002
2020-04-16,234.11,212.64,235.96,231.54,212.17,21.940000000000026,0.10340764481312169,1.0670951273986964,-0.3102239245727754,4.420000000000016,1.0190895741556536,0.02083235141631718,224.52800000000053,237.74600000000046,227.17200000000008,227.30993866261338,-10.523979190794964,21.852367928507576,23.228174505503347,19.100754774516034,0.975885722156731,49.389785614297885,5.106400000000013
2020-04-15,212.17,224.16,214.98,206.63,224.12,-11.950000000000017,-0.05331965018739968,0.9670905693058023,-0.37486741308190924,8.349999999999994,1.0404103953927308,0.03725682669998213,223.4400000000005,237.05800000000045,225.53566666666677,223.90990799392003,-17.83835903668458,12.392795216203483,23.91607779400123,-10.653769939392006,0.6835155517463727,40.600489317567444,4.5080000000000044
2020-04-14,224.12,226.93,224.55,220.09,227.06,-2.9399999999999977,-0.012948119439795638,1.0215597793883038,-0.3396582203889216,4.460000000000008,1.02026443727566,0.019642385272615203,227.9860000000005,237.4226666666671,224.42300000000012,229.77986199088005,-10.196950584068633,14.616157827173849,29.6777190829001,-15.506964684278657,0.8021257775960102,44.50997747038642,3.039199999999988
2020-04-13,227.06,225.39,227.44,223.23,225.18,1.8799999999999955,0.008348876454392022,1.0349605724964674,-0.33099587507365935,4.210000000000008,1.0188594722931505,0.01869615418776094,232.0240000000005,237.13000000000045,222.89733333333345,232.60979298632006,-6.725490992866677,18.342651244848934,37.20849971076323,-19.389045686979657,0.8352372369526023,45.51113175643207,6.064799999999996
2020-04-12,225.18,228.52,233.19,223.59,228.67,-3.4899999999999807,-0.015262168189967992,1.0263913578558732,-0.33653506187389504,9.599999999999994,1.0429357305782907,0.04198189530764855,239.5920000000005,235.97933333333378,220.8966666666668,235.38468947948013,-2.861635771534697,23.908931686550503,46.641423943720376,-21.556052827789244,0.8107262000134435,44.77353892639452,12.010399999999999
2020-04-11,228.67,235.41,235.23,227.73,234.9,-6.230000000000018,-0.026521924223073725,1.0422991020557,-0.32625220978196817,7.5,1.0329337373205112,0.031928480204342274,249.5480000000005,235.19333333333378,219.33766666666676,240.48703421922016,5.558038319060307,34.35657417880225,58.00767007230531,-12.945617608203875,0.8464919564326575,45.84325176634093,16.30559999999998
2020-04-10,234.9,245.02,235.63,232.19,244.31,-9.409999999999997,-0.038516638696737736,1.070696020784904,-0.3078962875662934,3.4399999999999977,1.0148154528618802,0.014080471532069901,255.1020000000005,233.7193333333338,217.05333333333343,246.39555132883024,16.55096841169872,50.56818088975829,69.83321801905684,12.038106631161185,0.9132760791141994,47.73362762874368,12.397599999999988
2020-04-09,244.31,265.33,258.82,244.28,264.9,-20.589999999999975,-0.07772744431861071,1.1135876749168152,-0.2801708898055391,14.539999999999992,1.0595218601604715,0.054888637221593026,254.9040000000005,233.52066666666713,217.7610000000001,252.14332699324532,28.812900887699918,71.3217755031324,79.46573658370613,55.03385334198492,1.0269075504066227,50.66375869982883,12.635199999999992
2020-04-08,264.9,274.2,274.03,264.04,274.96,-10.060000000000002,-0.03658713994762876,1.2074388076028992,-0.21950500883912788,9.989999999999952,1.0378351764884106,0.03633255746290352,253.5100000000005,232.23400000000044,218.69633333333343,256.05999048986797,39.64418070050301,86.5726152310562,83.537717123993,92.6424114451826,1.3743425648351995,57.88307825457322,14.307999999999982
2020-04-07,274.96,256.58,276.35,250.44,256.44,18.519999999999982,0.07221962252378716,1.253293222115867,-0.1898644667059517,25.910000000000025,1.1034579140712348,0.10103727967555773,247.28000000000048,229.3766666666671,218.91100000000012,251.63998573480197,37.6299863991581,89.25649343095729,82.0202680704614,103.7289441519491,1.623552617042568,61.883745212350185,14.736
2020-04-06,256.44,234.0,261.95,252.69,233.91,22.53,0.09631909708862384,1.1688773417202247,-0.24443134944018852,9.259999999999991,1.0366456923503107,0.039587875678679794,239.16200000000043,225.8406666666671,218.58200000000014,239.97997860220298,22.860129883408487,85.02558059292316,78.40215539021347,98.27243099834254,1.3135760407453365,56.77686912430843,6.911199999999985
2020-04-05,233.91,237.24,236.06,230.77,237.34,-3.430000000000007,-0.014451841240414624,1.0661835088199103,-0.3108131997642899,5.289999999999992,1.0229232569224769,0.022288699755624808,232.63200000000043,222.6946666666671,220.7693333333335,231.74996790330445,11.940692712434458,82.42225672522945,75.09044278885862,97.0858845979711,0.9634177584570909,49.06840402697446,3.5367999999999995
