Date,Close/Last,Open,High,Low
<<<<<<< HEAD
04/21/2020,1687.8,1713.3,1718.0,1666.2
04/20/2020,1711.2,1693.0,1718.4,1685.0
04/17/2020,1689.2,1715.7,1725.0,1684.9
04/16/2020,1731.7,1743.5,1768.0,1722.6
04/15/2020,1740.2,1758.1,1759.8,1731.6
04/14/2020,1768.9,1761.5,1788.8,1747.1
04/13/2020,1744.8,1722.0,1756.8,1710.7
04/09/2020,1736.2,1662.7,1732.5,1662.7
04/08/2020,1684.3,1678.7,1695.8,1670.7
04/07/2020,1683.7,1707.1,1742.6,1672.0
04/06/2020,1677.0,1629.1,1696.7,1625.9
04/03/2020,1633.7,1624.5,1636.0,1619.8
04/02/2020,1637.7,1602.4,1645.6,1595.2
04/01/2020,1591.4,1589.4,1612.4,1576.0
03/31/2020,1583.4,1618.7,1621.0,1576.0
03/30/2020,1643.2,1663.4,1673.6,1632.0
03/27/2020,1623.9,1623.9,1623.9,1623.9
03/26/2020,1660.3,1642.2,1677.2,1612.0
03/25/2020,1634.3,1665.5,1698.0,1609.0
03/24/2020,1660.2,1622.8,1685.5,1622.8
03/23/2020,1572.7,1508.4,1574.8,1489.4
03/20/2020,1484.0,1483.5,1483.5,1483.5
03/19/2020,1479.3,1487.2,1502.8,1460.1
03/18/2020,1477.9,1527.6,1547.0,1473.3
03/17/2020,1524.9,1469.3,1537.7,1469.3
03/16/2020,1486.5,1563.8,1574.8,1450.9
03/13/2020,1516.7,1582.7,1597.9,1504.0
03/12/2020,1590.3,1633.1,1651.0,1560.4
03/11/2020,1642.3,1649.3,1671.8,1632.4
03/10/2020,1659.1,1671.6,1674.6,1643.0
03/09/2020,1675.7,1692.6,1704.3,1658.0
03/06/2020,1672.4,1673.1,1692.8,1642.4
03/05/2020,1666.4,1637.2,1672.9,1637.2
03/04/2020,1643.0,1640.1,1654.3,1632.6
03/03/2020,1642.1,1594.5,1645.3,1594.0
03/02/2020,1592.3,1583.9,1608.3,1574.3
02/28/2020,1564.1,1640.3,1642.5,1564.8
02/27/2020,1642.5,1658.0,1662.5,1636.7
02/26/2020,1643.1,1640.8,1643.8,1640.3
02/25/2020,1650.0,1647.0,1655.8,1627.0
02/24/2020,1676.6,1674.2,1674.4,1652.8
02/21/2020,1644.6,1619.3,1645.0,1619.3
02/20/2020,1620.5,1615.0,1626.5,1606.6
02/19/2020,1611.8,1604.8,1615.9,1602.4
02/18/2020,1600.0,1587.0,1604.3,1579.8
02/14/2020,1582.7,1575.8,1582.4,1574.8
02/13/2020,1578.8,1569.8,1581.7,1568.5
02/12/2020,1571.6,1571.2,1573.6,1564.4
02/11/2020,1565.6,1570.9,1571.1,1561.9
02/10/2020,1579.5,1575.8,1580.5,1571.5
02/07/2020,1568.6,1564.9,1571.9,1560.5
02/06/2020,1570.0,1560.0,1571.9,1556.0
02/05/2020,1562.8,1556.1,1566.2,1551.1
02/04/2020,1555.5,1581.5,1584.5,1552.8
02/03/2020,1582.4,1597.8,1598.5,1573.2
01/31/2020,1582.9,1573.4,1589.0,1570.0
01/30/2020,1589.2,1582.4,1590.7,1576.8
01/29/2020,1576.0,1572.0,1583.0,1567.9
